Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-611.624	-882.8948	271.2707	2.042969	0.1665709	0.857826
6	-620.5696	-891.9176	271.348	1.998851	0.093509	1.107417
12	-613.6495	-885.2009	271.5514	1.830692	0.09070066	1.086329
18	-608.4313	-879.8438	271.4125	1.804099	0.113935	1.147768
24	-640.6726	-908.4629	267.7903	0.9195944	0.09597129	4.07158
30	-638.1323	-909.821	271.6886	1.940165	0.07142899	0.9289629
36	-627.097	-898.5632	271.4662	1.752256	0.04971602	1.388541
42	-628.951	-899.0823	270.1313	1.586758	0.2377695	1.96357
48	-624.9559	-895.0462	270.0903	1.460582	0.1548114	2.238709
54	-625.9766	-896.1474	270.1708	1.436819	0.0771153	2.400918
60	-611.05	-881.321	270.271	1.202609	0.1306886	2.343667
66	-612.9606	-882.8451	269.8845	1.235096	0.2392541	2.350795
72	-612.9982	-883.4064	270.4081	1.332259	0.08816584	2.284492
78	-619.269	-888.9717	269.7027	1.313825	0.3186634	2.292582
84	-640.0924	-911.2889	271.1965	1.471069	0.05942374	1.757545
90	-646.3578	-917.1171	270.7593	1.482575	0.1049836	1.907316
96	-639.4869	-910.3747	270.8877	1.448842	0.2250217	1.555198
102	-634.3602	-904.8719	270.5116	1.448842	0.1860135	1.901087
108	-625.0425	-896.7935	271.751	1.891193	0.04721034	1.037008
114	-628.6125	-900.4097	271.7972	2.146806	0.05306784	0.5859609
120	-633.6246	-905.4454	271.8208	2.192889	0.02888569	0.6921834
126	-618.4105	-890.2062	271.7957	2.22977	0.03929155	0.5160031
132	-638.7335	-909.4864	270.7529	1.757695	0.08664075	1.777237
138	-636.2727	-906.8823	270.6096	1.512986	0.08664075	2.040257
144	-629.5577	-901.1659	271.6082	2.272795	0.06227515	0.634039
150	-631.1678	-902.5692	271.4015	2.272795	0.1080932	0.634039
156	-635.3066	-906.9513	271.6447	2.067517	0.09328409	0.685248
162	-631.0037	-902.4937	271.4899	2.073464	0.08910954	0.9114583
168	-637.7169	-909.1438	271.4269	1.783009	0.1271995	1.107185
174	-627.5162	-898.932	271.4158	1.502855	0.09496523	1.454747
180	-616.0061	-887.4791	271.473	1.777028	0.08628923	1.220402
186	-629.9895	-901.556	271.5665	1.922397	0.08628923	1.002743
192	-621.6392	-892.9806	271.3414	1.651052	0.1212681	1.312282
198	-621.2626	-892.2072	270.9445	1.629019	0.1762314	1.487302
204	-619.5215	-890.4635	270.942	1.557416	0.0540913	1.891679
210	-635.5567	-906.3235	270.7668	1.364381	0.09251331	2.017332
216	-631.6216	-902.5503	270.9287	1.411448	0.1386215	1.749516
222	-630.7054	-902.4468	271.7415	1.637944	0.05653661	1.230577
228	-634.7183	-905.5809	270.8626	1.739843	0.2374731	1.325184
